seconds_elapsed,rms,spectral_centroid,zcr,activity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5
2,0.03263528,2741.9636173312583,0.0459711602393617,play_basketball_with_kid,-275.93112,154.72554,-19.798208,57.510754,-19.461248
3,0.034223974,3091.7148846398654,0.05773666057180851,play_basketball_with_kid,-267.60284,144.41695,-18.536896,52.82469,-19.65201
4,0.044489887,2629.8903715315464,0.04511926529255319,play_basketball_with_kid,-261.0479,154.58186,-21.413038,43.48058,-13.591121
5,0.040297855,3123.9859902579965,0.056692569813829786,play_basketball_with_kid,-268.68887,135.90903,-10.655347,39.0993,-11.033335
6,0.048690062,2599.144450975606,0.040303981050531915,play_basketball_with_kid,-268.74567,158.54689,-16.433842,36.100456,-13.32843
7,0.032664523,2929.331500375351,0.052957737699468085,play_basketball_with_kid,-273.18344,157.35605,-22.581211,48.35513,-29.323423
8,0.101179816,2464.922729640461,0.04676072140957447,play_basketball_with_kid,-206.31479,168.85194,-26.061415,27.725422,-17.357954
9,0.09966021,2289.757237145699,0.0348134142287234,play_basketball_with_kid,-207.69221,162.51555,-18.79514,33.295406,-6.939127
10,0.15293108,2005.9555015190126,0.03565492021276596,play_basketball_with_kid,-188.95386,174.9746,-24.37429,30.16982,-6.965041
11,0.11286893,1764.402272964346,0.03007085272606383,play_basketball_with_kid,-240.75212,184.71248,-15.043869,20.908451,-6.3346667
12,0.119638294,1622.7446210567293,0.0342056599069149,play_basketball_with_kid,-261.28455,191.22392,-26.928143,5.984976,7.815305
13,0.05000943,2040.5045920186471,0.03520300033244681,play_basketball_with_kid,-275.2405,171.22495,-20.934195,28.91328,-0.4393579
14,0.030218586,1836.4070434566556,0.029525432180851064,play_basketball_with_kid,-305.2951,178.18715,-18.59967,25.545176,-0.10679407
15,0.09383881,1789.519203386082,0.031431806848404256,play_basketball_with_kid,-233.2941,185.7677,-30.93148,37.07838,2.521192
16,0.07587103,1893.775473979314,0.033883602061170214,play_basketball_with_kid,-220.64822,187.85336,-31.255077,26.74256,-10.15241
17,0.06492898,2172.0350685855688,0.029042345412234043,play_basketball_with_kid,-244.70512,163.66058,-19.98863,39.45233,-5.278063
18,0.0779695,1810.9689640503434,0.028709898603723406,play_basketball_with_kid,-239.40399,177.68355,-22.678726,28.572676,6.4629626
19,0.101528905,1926.6800714270812,0.0384755236037234,play_basketball_with_kid,-224.63068,180.1772,-30.60821,28.080566,4.2029057
20,0.14802216,1603.9890111389377,0.03504197140957447,play_basketball_with_kid,-237.1524,196.0348,-29.016554,-6.5669866,3.322051
21,0.072528526,1617.5035274736738,0.03650162067819149,play_basketball_with_kid,-280.824,194.0698,-29.8544,-1.4389645,1.0699562
22,0.16569063,1728.369576174841,0.032979762300531915,play_basketball_with_kid,-196.12115,192.33179,-26.720009,20.99348,-11.122031
23,0.055183414,2389.2252080188455,0.03381607380319149,play_basketball_with_kid,-259.00323,154.3795,-27.185732,43.98385,-8.636478
24,0.087633796,1743.0219303187857,0.035306889960106384,play_basketball_with_kid,-214.19423,192.74763,-31.243227,14.726346,-8.805909
25,0.08188622,2137.818317475159,0.03230447972074468,play_basketball_with_kid,-219.50029,165.84729,-28.93236,35.439335,-2.16495
26,0.052154586,1947.0776962422328,0.029390375664893616,play_basketball_with_kid,-271.99118,164.6355,-13.057309,27.292572,0.3603296
27,0.0581673,1479.2998774051664,0.022850523603723406,play_basketball_with_kid,-302.4122,176.56242,1.696941,22.852903,5.5675187
28,0.039531637,1539.141883463146,0.020564951795212765,play_basketball_with_kid,-317.37335,175.45699,2.226314,17.038242,6.3807
29,0.055353876,1564.0032556071228,0.027203499002659573,play_basketball_with_kid,-274.40628,181.37419,-8.461492,19.91032,6.172539
30,0.032430056,1712.0992017974145,0.029811128656914893,play_basketball_with_kid,-311.326,194.96346,-24.707987,29.183125,-5.5635095
31,0.029833661,1590.224604984601,0.029769572805851064,play_basketball_with_kid,-332.51187,200.7337,-20.660162,22.138332,-8.288654
32,0.12964241,1300.0268564292464,0.030013713430851064,play_basketball_with_kid,-225.5459,217.42062,-16.636452,3.980442,-11.823951
33,0.18043879,1706.0074993336968,0.03125,play_basketball_with_kid,-164.0052,191.9062,-26.126343,30.366133,-9.108607
34,0.15232491,2067.4706424633405,0.03348882147606383,play_basketball_with_kid,-170.41068,164.86438,-21.125906,41.3382,-4.232881
35,0.13104445,2171.5687956621055,0.029551404587765957,play_basketball_with_kid,-186.13356,157.21257,-17.668947,36.264244,-2.9259915
36,0.04559898,1954.4862313215774,0.03490691489361702,play_basketball_with_kid,-271.06378,179.98715,-34.775974,33.616417,-9.072979
37,0.05798905,2041.2941115058336,0.033987491688829786,play_basketball_with_kid,-255.50879,166.82312,-25.50435,30.49649,0.30647287
38,0.05425748,2075.5364620079827,0.028263173204787235,play_basketball_with_kid,-261.42953,164.04285,-24.541763,36.166042,-1.4964093
39,0.0780703,1811.1742004548382,0.026865857712765957,play_basketball_with_kid,-251.90567,174.63747,-17.048456,25.78742,-2.2361753
